TEMA,SUBTEMA,NUM_PERG,PERGUNTA,NOME_ARQUIVO_JS,CODIGO,LINK,TAG_GITHUB,END_TRANSFORMACOES,DESCRICAO,FREQ_DATA,TP_GRAFICO,TITULO
Cultura e Esportes,Futebol,qt1,Quantos jogos do campeonato Brasileirão Série A foram realizados na Arena Fonte Nova?,qt1.csv,codigo_v00.R,https://basedosdados.org/dataset/mundo-transfermarkt-competicoes,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_culturaesporte_futebol,,anual,padrao,Número de partidas do campeonato brasileirão série A relizadas na Arena Fonte Nova
Cultura e Esportes,Futebol,qt2,Qual é o público presente nas partidas do campeonato brasileirão série A relizadas na Arena Fonte Nova?,qt2.csv,codigo_v01.R,https://basedosdados.org/dataset/mundo-transfermarkt-competicoes,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_culturaesporte_futebol,,anual,padrao,Público presente nas partidas do campeonato brasileirão série A relizadas na Arena Fonte Nova
Cultura e Esportes,Futebol,qt3,Quantos gols do campeonato Brasileirão Série A foram feitos na Arena Fonte Nova?,qt3.csv,codigo_v02.R,https://basedosdados.org/dataset/mundo-transfermarkt-competicoes,(re)Conhecendo Salvador,https://github.com/cienciadedadosnaep/rs_dados_culturaesporte_futebol,,anual,padrao,Número de gols do campeonato brasileirão série A feitos na Arena Fonte Nova
